M	A	Rank	Composite
VWA1	0.015672665098149	1.18479649488227	1554.66037735849	VWA1: 1554.66037735849
ATAD3C	0.00579333169885767	0.378931435076679	5329.01886792453	ATAD3C: 5329.01886792453
ATAD3B	0.00224182344914948	0.140080439116066	8807.28301886793	ATAD3B: 8807.28301886793
ATAD3A	0.00333840541223566	0.229385578027417	7108.20754716981	ATAD3A: 7108.20754716981
TMEM240	0.000885978078923309	0.0822707919029372	12070.7641509434	TMEM240: 12070.7641509434
SSU72	0.0283188867146924	2.07896694213839	735.679245283019	SSU72: 735.679245283019
AL645728.1	0.00047922190388767	0.047060602792038	13543.9150943396	AL645728.1: 13543.9150943396
FNDC10	0.00100214069425924	0.0916990330113665	12159.9245283019	FNDC10: 12159.9245283019
AL691432.4	4.72737731451394e-05	0.00535456938325691	22135.820754717	AL691432.4: 22135.820754717
AL691432.2	0.00524487397436952	0.319699500454763	6425.39622641509	AL691432.2: 6425.39622641509
MIB2	0.00614332034912762	0.400921492223521	4267.88679245283	MIB2: 4267.88679245283
MMP23B	0.000242903799292888	0.0143074587150919	18320.8113207547	MMP23B: 18320.8113207547
CDK11B	0.00227030719949595	0.199069481998381	8496.84905660377	CDK11B: 8496.84905660377
FO704657.1	0.000158269619597801	0.0107397473078748	18430.8490566038	FO704657.1: 18430.8490566038
SLC35E2B	0.00190991293821023	0.182245582700409	9428.67924528302	SLC35E2B: 9428.67924528302
CDK11A	0.00232142128795151	0.211846481837096	8385.45283018868	CDK11A: 8385.45283018868
SLC35E2A	0.0012180398793761	0.112045644419428	11012.1132075472	SLC35E2A: 11012.1132075472
NADK	0.00367452312519291	0.266314318510947	6783.79245283019	NADK: 6783.79245283019
GNB1	0.0206244639326218	1.6372929994065	1032	GNB1: 1032
AL109917.1	0.000182429144876982	0.0140896385022613	18047.5566037736	AL109917.1: 18047.5566037736
CALML6	7.04511325061652e-06	0.000453021992047985	26861.0754716981	CALML6: 26861.0754716981
TMEM52	0.000527450364528602	0.0303839837318612	15937.9622641509	TMEM52: 15937.9622641509
CFAP74	3.35132952912301e-05	0.00331793425779052	24448.8018867925	CFAP74: 24448.8018867925
AL391845.2	1.49112048422516e-06	0.00130539720535187	26854.1320754717	AL391845.2: 26854.1320754717
GABRD	4.60805915746834e-05	0.00599238447887187	23004.2641509434	GABRD: 23004.2641509434
AL391845.1	5.44469187243777e-06	0.00100517980147071	26121.5471698113	AL391845.1: 26121.5471698113
PRKCZ	0.00219801223213405	0.156320133569627	8772.64150943396	PRKCZ: 8772.64150943396
AL590822.2	7.32549519471781e-05	0.00956060373330761	22210.5566037736	AL590822.2: 22210.5566037736
PRKCZ-AS1	8.08095236541654e-05	0.00934720361116595	20701.2264150943	PRKCZ-AS1: 20701.2264150943
FAAP20	0.0215889205631117	1.45502936448764	1147.01886792453	FAAP20: 1147.01886792453
AL590822.1	2.25421025513087e-06	0.000419156379955824	26879.3301886792	AL590822.1: 26879.3301886792
SKI	0.00205826202698947	0.186490926306338	9033.92452830189	SKI: 9033.92452830189
AL590822.3	4.55972700929778e-05	0.00293494660248328	22946.7924528302	AL590822.3: 22946.7924528302
